FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1462389|Auburn High School|School|VA|51|Montgomery|121|370343N|0802634W|37.0618545|-80.4426501|||||629|2064|Riner|09/28/1979|09/15/2010
1462398|Alleghany Church|Church|VA|51|Montgomery|121|370726N|0801609W|37.1240212|-80.2692107|||||432|1417|Pilot|09/28/1979|
1462399|Alleghany Church|Church|VA|51|Montgomery|121|370925N|0801518W|37.1570768|-80.2550434|||||413|1355|Ironto|09/28/1979|
1462400|Alleghany Springs|Populated Place|VA|51|Montgomery|121|370741N|0801554W|37.128188|-80.2650439|||||427|1401|Ironto|09/28/1979|
1462408|Allen Hollow|Valley|VA|51|Montgomery|121|370849N|0801613W|37.1470766|-80.2703219|370937N|0801636W|37.1602778|-80.2766667|438|1437|Ironto|09/28/1979|
1462695|Bain Chapel|Church|VA|51|Montgomery|121|370536N|0803149W|37.0934603|-80.5303336|||||641|2103|Radford South|09/28/1979|
1463122|Bethany Church|Church|VA|51|Montgomery|121|370048N|0802843W|37.0134619|-80.4786639|||||726|2382|Riner|09/28/1979|
1463214|Bethel Elementary School|School|VA|51|Montgomery|121|370605N|0803054W|37.1015163|-80.5150548|||||636|2087|Radford South|09/28/1979|06/22/2007
1463327|Big Branch|Stream|VA|51|Montgomery|121|370008N|0803028W|37.0023501|-80.5078319|370148N|0802908W|37.0301284|-80.4856086|590|1936|Radford South|09/28/1979|
1463373|Big Laurel Creek|Stream|VA|51|Montgomery|121|370808N|0801003W|37.13569|-80.1675411|371104N|0800958W|37.1844444|-80.1661111|749|2457|Elliston|09/28/1979|
1463464|Bishop Hollow|Valley|VA|51|Montgomery|121|370546N|0801502W|37.096244|-80.2505988|370502N|0801725W|37.0838889|-80.2902778|450|1476|Pilot|09/28/1979|
1463656|Bonys Run|Stream|VA|51|Montgomery|121|370945N|0801430W|37.1626327|-80.2417096|370806N|0801500W|37.1351327|-80.2500433|401|1316|Elliston|09/28/1979|
1463657|Bonys Run Church|Church|VA|51|Montgomery|121|370900N|0801447W|37.1501327|-80.246432|||||441|1447|Elliston|09/28/1979|
1463674|Booth Hollow|Valley|VA|51|Montgomery|121|370327N|0802054W|37.0576311|-80.3483807|370440N|0802154W|37.0777778|-80.365|694|2277|Pilot|09/28/1979|
1463693|Bottom Creek|Stream|VA|51|Montgomery|121|370606N|0801312W|37.1018002|-80.2200425|371153N|0800847W|37.19819|-80.1464297|464|1522|Check|09/28/1979|
1463694|Bottom Creek Church|Church|VA|51|Montgomery|121|370756N|0801049W|37.1323564|-80.1803192|||||743|2438|Elliston|09/28/1979|
1463748|Brake Branch|Stream|VA|51|Montgomery|121|371301N|0801403W|37.2170769|-80.2342094|371038N|0801228W|37.1772222|-80.2077778|377|1237|Elliston|09/28/1979|
1463856|Broad Shoals|Bar|VA|51|Montgomery|121|370112N|0802647W|37.0201292|-80.4464403|||||624|2047|Riner|09/28/1979|
1463944|Brush Creek|Stream|VA|51|Montgomery|121|370052N|0802415W|37.0145745|-80.4042163|370326N|0801624W|37.0573548|-80.2733776|632|2073|Riner|09/28/1979|
1463997|Buck Shoals Branch|Stream|VA|51|Montgomery|121|370035N|0802349W|37.0098525|-80.3969938|370110N|0802310W|37.0194444|-80.3861111|632|2073|Riner|09/28/1979|
1464249|Calfee Knob|Summit|VA|51|Montgomery|121|370157N|0802908W|37.0326284|-80.4856086|||||853|2799|Riner|09/28/1979|
1464250|Calfhill Hollow|Valley|VA|51|Montgomery|121|371017N|0801646W|37.1715208|-80.2794889|371033N|0801725W|37.1758333|-80.2902778|482|1581|Ironto|09/28/1979|
1464253|Calhoun Run|Stream|VA|51|Montgomery|121|370744N|0801557W|37.1290213|-80.2658772|370816N|0801434W|37.1379106|-80.2428209|424|1391|Ironto|09/28/1979|
1464303|Camp Alta Mons|Locale|VA|51|Montgomery|121|370539N|0801511W|37.0942995|-80.2530989|||||456|1496|Pilot|09/28/1979|
1464315|Camp Carysbrook|Locale|VA|51|Montgomery|121|370048N|0802727W|37.0134623|-80.4575519|||||642|2106|Riner|09/28/1979|
1464338|Camp Kiwanianna|Locale|VA|51|Montgomery|121|370657N|0801207W|37.1159671|-80.2019864|||||500|1640|Check|09/28/1979|
1464909|Church Campgrounds|Locale|VA|51|Montgomery|121|370843N|0801906W|37.145409|-80.3183795|||||667|2188|Ironto|09/28/1979|
1464995|Clinkum Hollow|Valley|VA|51|Montgomery|121|371334N|0801453W|37.2262433|-80.2480986|371241N|0801514W|37.2115211|-80.2539322|401|1316|Elliston|09/28/1979|
1465054|Coffees Valley|Valley|VA|51|Montgomery|121|371149N|0801743W|37.1970758|-80.2953229|371129N|0801612W|37.1913889|-80.27|414|1358|Ironto|09/28/1979|03/31/2010
1465195|Cooks Branch|Stream|VA|51|Montgomery|121|370648N|0801753W|37.1134651|-80.2981008|370805N|0801831W|37.1348537|-80.3086569|449|1473|Pilot|09/28/1979|
1465397|Craig Branch|Stream|VA|51|Montgomery|121|371415N|0801628W|37.2376316|-80.2744886|371321N|0801945W|37.2225|-80.3291667|386|1266|Ironto|09/28/1979|
1465610|Dark Hollow|Valley|VA|51|Montgomery|121|371147N|0801726W|37.1965204|-80.2906004|371110N|0801731W|37.1861111|-80.2919444|429|1407|Ironto|09/28/1979|
1465615|Dark Run|Stream|VA|51|Montgomery|121|371031N|0801413W|37.1754105|-80.2369873|370848N|0801306W|37.1466667|-80.2183333|401|1316|Elliston|09/28/1979|
1465728|Den Creek|Stream|VA|51|Montgomery|121|371106N|0802106W|37.1851304|-80.3517142|370822N|0802014W|37.1394444|-80.3372222|445|1460|Ironto|09/28/1979|
1465729|Den Hill|Summit|VA|51|Montgomery|121|370847N|0801911W|37.1465201|-80.3197684|||||683|2241|Ironto|09/28/1979|
1465730|Den Hill Cemetery|Cemetery|VA|51|Montgomery|121|370920N|0801844W|37.1556869|-80.3122681|||||577|1893|Ironto|09/28/1979|
1465970|Dry Branch|Stream|VA|51|Montgomery|121|370544N|0802007W|37.0956868|-80.3353247|370458N|0802138W|37.0827778|-80.3605556|517|1696|Pilot|09/28/1979|
1466124|Easter Creek|Stream|VA|51|Montgomery|121|370139N|0803158W|37.0276271|-80.5328336|370133N|0802939W|37.0259615|-80.49422|565|1854|Radford South|09/28/1979|
1466165|Eckels Branch|Stream|VA|51|Montgomery|121|370301N|0802058W|37.0504089|-80.3494919|370448N|0802016W|37.08|-80.3377778|693|2274|Pilot|09/28/1979|
1466176|Edgemont Church|Church|VA|51|Montgomery|121|370627N|0802842W|37.1076282|-80.4783862|||||638|2093|Riner|09/28/1979|
1466247|Elliott Creek|Stream|VA|51|Montgomery|121|370737N|0801557W|37.1270768|-80.2658772|370247N|0802410W|37.0465189|-80.4028275|424|1391|Ironto|09/28/1979|
1466253|Elliston Lafayette Elementary School|School|VA|51|Montgomery|121|371324N|0801251W|37.2234363|-80.2142038|||||398|1306|Elliston|09/28/1979|09/15/2010
1466386|Fagg Hollow|Valley|VA|51|Montgomery|121|371130N|0801941W|37.1917975|-80.3281021|371030N|0801945W|37.175|-80.3291667|436|1430|Ironto|09/28/1979|
1466415|Fairview Church|Church|VA|51|Montgomery|121|370300N|0802953W|37.050128|-80.4981091|||||612|2008|Riner|09/28/1979|
1466449|Falling Branch|Stream|VA|51|Montgomery|121|370638N|0801825W|37.1106873|-80.3069901|370720N|0802220W|37.1223525|-80.3722707|455|1493|Pilot|09/28/1979|
1466465|Falling Spring Hollow|Valley|VA|51|Montgomery|121|371131N|0801448W|37.1920768|-80.2467097|371145N|0801533W|37.1959654|-80.2592102|400|1312|Elliston|09/28/1979|
1466468|Falling Waters Church|Church|VA|51|Montgomery|121|371156N|0801905W|37.1990199|-80.3181016|||||422|1384|Ironto|09/28/1979|
1466473|Falls Hollow|Valley|VA|51|Montgomery|121|371143N|0801925W|37.1954087|-80.3236575|371016N|0801820W|37.1711111|-80.3055556|428|1404|Ironto|09/28/1979|
1466608|Fishers View Mountain|Summit|VA|51|Montgomery|121|370525N|0801744W|37.0904098|-80.2956007|||||812|2664|Pilot|09/28/1979|
1466674|Flatwoods|Woods|VA|51|Montgomery|121|371438N|0801619W|37.2440205|-80.2719885|||||457|1499|Ironto|09/28/1979|
1466978|Garber Chapel|Church|VA|51|Montgomery|121|370816N|0802034W|37.1379086|-80.342825|||||665|2182|Ironto|09/28/1979|
1467045|Georges Run|Stream|VA|51|Montgomery|121|370819N|0801617W|37.1387433|-80.2714331|370841N|0801758W|37.1447222|-80.2994444|421|1381|Ironto|09/28/1979|
1467110|Ginger Hollow|Valley|VA|51|Montgomery|121|371153N|0801801W|37.1981869|-80.3003232|371129N|0801845W|37.1913889|-80.3125|420|1378|Ironto|09/28/1979|
1467309|Grace Church|Church|VA|51|Montgomery|121|370132N|0802556W|37.0256851|-80.4322731|||||699|2293|Riner|09/28/1979|
1467674|Halls Church|Church|VA|51|Montgomery|121|371417N|0801606W|37.2381873|-80.2683772|||||383|1257|Ironto|09/28/1979|
1467881|Hazelnut Hollow|Valley|VA|51|Montgomery|121|371947N|0802027W|37.3298512|-80.3408833|371844N|0802026W|37.3122222|-80.3405556|538|1765|McDonalds Mill|09/28/1979|
1468025|High Rock Church|Church|VA|51|Montgomery|121|370324N|0802041W|37.0567979|-80.3447695|||||731|2398|Pilot|09/28/1979|
1468038|Hightop Mountain|Summit|VA|51|Montgomery|121|371218N|0802006W|37.2051306|-80.3350469|||||795|2608|Ironto|09/28/1979|
1468483|Indian Run|Stream|VA|51|Montgomery|121|371330N|0801228W|37.225133|-80.20782|371246N|0801158W|37.2127778|-80.1994444|368|1207|Elliston|09/28/1979|
1468516|Iron Mine Hollow|Valley|VA|51|Montgomery|121|371002N|0802042W|37.1673528|-80.3450473|370920N|0802125W|37.1555556|-80.3569444|490|1608|Ironto|09/28/1979|
1468520|Ironto|Populated Place|VA|51|Montgomery|121|371307N|0801641W|37.2187427|-80.2780999|||||401|1316|Ironto|09/28/1979|
1468978|Kettle Hollow|Valley|VA|51|Montgomery|121|370945N|0802035W|37.1626307|-80.3431027|370845N|0802128W|37.1458333|-80.3577778|502|1647|Ironto|09/28/1979|
1469028|Kingston Hollow|Valley|VA|51|Montgomery|121|370546N|0802529W|37.0962404|-80.4247729|370639N|0802427W|37.1108333|-80.4075|596|1955|Riner|09/28/1979|
1469037|Kirk Hollow|Valley|VA|51|Montgomery|121|370957N|0801515W|37.1659657|-80.25421|370947N|0801643W|37.1630556|-80.2786111|434|1424|Ironto|09/28/1979|
1469186|Laurel Hill Church|Church|VA|51|Montgomery|121|370354N|0803227W|37.0651268|-80.5408897|||||584|1916|Radford South|09/28/1979|
1469580|Little Laurel Creek|Stream|VA|51|Montgomery|121|370753N|0801047W|37.1315231|-80.1797636|370909N|0801124W|37.1525|-80.19|741|2431|Elliston|09/28/1979|
1469816|Long Hollow Ridge|Ridge|VA|51|Montgomery|121|371035N|0801652W|37.1765207|-80.2811556|||||547|1795|Ironto|09/28/1979|
1469939|Lusters Gate|Locale|VA|51|Montgomery|121|371433N|0802149W|37.2426298|-80.3636592|||||487|1598|Ironto|09/28/1979|
1470311|Meadow Creek|Stream|VA|51|Montgomery|121|370337N|0803247W|37.0604044|-80.5464456|370640N|0802603W|37.1112402|-80.4342177|545|1788|Radford South|09/28/1979|
1470436|Midway Church|Church|VA|51|Montgomery|121|371302N|0801708W|37.2173537|-80.2856002|||||429|1407|Ironto|09/28/1979|
1470500|Mill Creek|Stream|VA|51|Montgomery|121|370415N|0803030W|37.070961|-80.5083876|370239N|0802553W|37.0442961|-80.4314398|576|1890|Radford South|09/28/1979|
1470523|Mill Knob|Summit|VA|51|Montgomery|121|371154N|0801822W|37.1984645|-80.3061567|||||631|2070|Ironto|09/28/1979|
1470797|Mount Airy Church|Church|VA|51|Montgomery|121|370301N|0803148W|37.0504049|-80.5300556|||||618|2028|Radford South|09/28/1979|
1470825|Mount Calvary Church|Church|VA|51|Montgomery|121|370919N|0801848W|37.1554091|-80.3133792|||||573|1880|Ironto|09/28/1979|
1470916|Mount Jackson Church|Church|VA|51|Montgomery|121|370037N|0802851W|37.0104064|-80.4808861|||||716|2349|Riner|09/28/1979|
1471036|Mount Pleasant Church|Church|VA|51|Montgomery|121|370758N|0801823W|37.1329093|-80.3064346|||||623|2044|Ironto|09/28/1979|
1471698|Oak Grove Cemetery|Cemetery|VA|51|Montgomery|121|370636N|0802214W|37.1101304|-80.3706039|||||643|2110|Pilot|09/28/1979|
1471826|Old Brick Church|Church|VA|51|Montgomery|121|370707N|0803224W|37.1187378|-80.5400564|||||590|1936|Radford South|09/28/1979|
1472045|Panther Hollow|Valley|VA|51|Montgomery|121|370552N|0802008W|37.0979089|-80.3356024|370554N|0802053W|37.0983333|-80.3480556|514|1686|Pilot|09/28/1979|
1472170|Pedlar Hills|Range|VA|51|Montgomery|121|371316N|0801448W|37.2212433|-80.2467096|||||593|1946|Elliston|09/28/1979|
1472171|Pedlar Hollow|Valley|VA|51|Montgomery|121|371409N|0801400W|37.2359657|-80.233376|371215N|0801537W|37.2042988|-80.2603214|373|1224|Elliston|09/28/1979|
1472274|Piedmont|Populated Place|VA|51|Montgomery|121|370600N|0801308W|37.1001335|-80.2189313|||||467|1532|Check|09/28/1979|
1472316|Pilot|Populated Place|VA|51|Montgomery|121|370307N|0802149W|37.0520752|-80.3636592|||||693|2274|Pilot|09/28/1979|
1472320|Pilot Mountain|Summit|VA|51|Montgomery|121|370410N|0802128W|37.0695752|-80.3578256|||||891|2923|Pilot|09/28/1979|
1472618|Poorhouse Knob|Summit|VA|51|Montgomery|121|370630N|0802501W|37.1084627|-80.4169947|||||729|2392|Riner|09/28/1979|
1472635|Poplar Branch|Stream|VA|51|Montgomery|121|370329N|0802746W|37.0581843|-80.46283|370202N|0802823W|37.0338889|-80.4730556|602|1975|Riner|09/28/1979|
1472653|Poplar Hollow|Valley|VA|51|Montgomery|121|370948N|0801750W|37.1634649|-80.2972674|370846N|0801750W|37.1461111|-80.2972222|491|1611|Ironto|09/28/1979|
1473127|Reese Hollow|Valley|VA|51|Montgomery|121|371234N|0801649W|37.209576|-80.2803223|371203N|0801619W|37.2008333|-80.2719444|402|1319|Ironto|09/28/1979|
1473229|Riner|Populated Place|VA|51|Montgomery|121|370359N|0802626W|37.0665181|-80.4406068|||||621|2037|Riner|09/28/1979|01/29/2011
1473270|Riverside Church|Church|VA|51|Montgomery|121|371112N|0802107W|37.1867971|-80.351992|||||442|1450|Ironto|09/28/1979|
1473386|Rock Road Cemetery|Cemetery|VA|51|Montgomery|121|370652N|0803340W|37.1145705|-80.5611689|||||606|1988|Radford South|09/28/1979|
1473427|Rocky Branch|Stream|VA|51|Montgomery|121|370617N|0801952W|37.1048534|-80.3311578|370446N|0801723W|37.0794444|-80.2897222|486|1594|Pilot|09/28/1979|
1473503|Rogers|Populated Place|VA|51|Montgomery|121|370530N|0802324W|37.0917968|-80.3900492|||||556|1824|Riner|09/28/1979|
1473668|Ryan Hollow|Valley|VA|51|Montgomery|121|371020N|0801601W|37.1723543|-80.2669883|371105N|0801648W|37.1847222|-80.28|448|1470|Ironto|09/28/1979|
1474167|Seneca Hollow|Valley|VA|51|Montgomery|121|371200N|0801424W|37.2001325|-80.2400429|371211N|0801556W|37.2031876|-80.2655993|390|1280|Elliston|09/28/1979|
1474272|River Ridge|Ridge|VA|51|Montgomery|121|370846N|0801518W|37.1462436|-80.2550434|||||658|2159|Ironto|09/28/1979|
1474427|Zion Hill Baptist Church|Church|VA|51|Montgomery|121|370646N|0803408W|37.1129037|-80.5689472|||||590|1936|Radford South|09/28/1979|02/14/2007
1474576|Sidney Church|Church|VA|51|Montgomery|121|370144N|0802815W|37.0290176|-80.4708858|||||704|2310|Riner|09/28/1979|
1474648|Skillet Hollow|Valley|VA|51|Montgomery|121|371007N|0801703W|37.1687429|-80.2842113|371026N|0801734W|37.1738889|-80.2927778|469|1539|Ironto|09/28/1979|
1474682|Slaughterpen Hollow|Valley|VA|51|Montgomery|121|371010N|0802035W|37.169575|-80.3431027|371021N|0801953W|37.1725|-80.3313889|483|1585|Ironto|09/28/1979|
1474745|Smith Creek|Stream|VA|51|Montgomery|121|370525N|0802316W|37.0904079|-80.3878269|370549N|0802630W|37.0969444|-80.4416667|551|1808|Riner|09/28/1979|
1474867|South Fork Roanoke River|Stream|VA|51|Montgomery|121|371415N|0801248W|37.2376328|-80.2133756|370607N|0801313W|37.1020779|-80.2203203|364|1194|Elliston|09/28/1979|
1474923|Sowders Chapel Baptist Church|Church|VA|51|Montgomery|121|370648N|0801544W|37.1134658|-80.262266|||||434|1424|Pilot|09/28/1979|02/14/2007
1474978|Spring Branch|Stream|VA|51|Montgomery|121|370959N|0801415W|37.1665216|-80.2375429|370822N|0801855W|37.1395757|-80.3153238|402|1319|Elliston|09/28/1979|
1475015|Spring Valley Branch|Stream|VA|51|Montgomery|121|370925N|0801505W|37.1570769|-80.2514322|370940N|0801615W|37.1611111|-80.2708333|406|1332|Ironto|09/28/1979|
1475384|Sweet Spring Hollow|Valley|VA|51|Montgomery|121|370829N|0801556W|37.1415212|-80.2655994|370833N|0801738W|37.1425|-80.2938889|416|1365|Ironto|09/28/1979|
1475473|Tanzy Hollow|Valley|VA|51|Montgomery|121|370544N|0802007W|37.0956868|-80.3353247|370450N|0801958W|37.0805556|-80.3327778|517|1696|Pilot|09/28/1979|
1475508|Taylor Hollow|Valley|VA|51|Montgomery|121|371205N|0802122W|37.2015191|-80.3561589|371240N|0801857W|37.2111111|-80.3158333|444|1457|Ironto|09/28/1979|
1475551|Texas Hollow|Valley|VA|51|Montgomery|121|370625N|0801532W|37.1070771|-80.2589326|370525N|0801654W|37.0902778|-80.2816667|438|1437|Pilot|09/28/1979|
1475552|Texas Hollow Church|Church|VA|51|Montgomery|121|370554N|0801642W|37.0984656|-80.2783778|||||493|1617|Pilot|09/28/1979|
1476094|Union Valley|Basin|VA|51|Montgomery|121|370348N|0802505W|37.0634629|-80.4181058|||||602|1975|Riner|09/28/1979|
1476095|Union Valley Church|Church|VA|51|Montgomery|121|370255N|0802618W|37.0487404|-80.4383845|||||642|2106|Riner|09/28/1979|
1476096|Union Valley Church|Church|VA|51|Montgomery|121|370400N|0802337W|37.0667968|-80.3936604|||||608|1995|Riner|09/28/1979|
1476284|Walnut Hollow|Valley|VA|51|Montgomery|121|371152N|0801746W|37.1979092|-80.2961563|371053N|0801832W|37.1813889|-80.3088889|407|1335|Ironto|09/28/1979|
1476446|Wells Hollow|Valley|VA|51|Montgomery|121|370934N|0801938W|37.1595754|-80.3272687|371007N|0801929W|37.1686111|-80.3247222|508|1667|Ironto|09/28/1979|
1476557|Wheeling Hollow|Valley|VA|51|Montgomery|121|370957N|0801741W|37.1659649|-80.2947673|371020N|0801811W|37.1722222|-80.3030556|485|1591|Ironto|09/28/1979|
1476856|Windy Hill Church|Church|VA|51|Montgomery|121|370323N|0801942W|37.0565204|-80.3283799|||||725|2379|Pilot|09/28/1979|
1477097|Basham|Populated Place|VA|51|Montgomery|121|370210N|0802033W|37.0362424|-80.3425472|||||740|2428|Pilot|09/28/1979|
1477201|Childress|Populated Place|VA|51|Montgomery|121|370322N|0803016W|37.0562389|-80.5044984|||||596|1955|Radford South|09/28/1979|
1477300|Ellett|Populated Place|VA|51|Montgomery|121|371129N|0802200W|37.1915189|-80.3667149|||||464|1522|Ironto|09/28/1979|
1477314|Fagg|Populated Place|VA|51|Montgomery|121|371146N|0801923W|37.196242|-80.3231019|||||427|1401|Ironto|09/28/1979|
1477550|Montgomery|Populated Place|VA|51|Montgomery|121|370923N|0801908W|37.1565201|-80.3189351|||||538|1765|Ironto|09/28/1979|
1477585|Oak Grove|Populated Place|VA|51|Montgomery|121|370648N|0802159W|37.1134637|-80.3664371|||||649|2129|Pilot|09/28/1979|
